ID,NOM,CARREC,TRACTAMENT,RESP,IDDEP,DEP,IDPARE,CODIDEP,NIF,ORDRE,DATA MODIFICACIO,DATACREACIO,CP,POB,CODI_INE_MUNICIPI,COM,ADRECA,LATITUD,LONGITUD,Georeferència
1,Generalitat de Catalunya,President de la Generalitat de Catalunya,Molt Hble. Sr.,Pere Aragonès i Garcia,1,Generalitat de Catalunya,0,PRE,S-0811001-G,175,28/11/2022,19/06/1997,08002,Barcelona,08019,Barcelonès,Sant Jaume 4 (Palau de la Generalitat),41.382806239,2.176800531,
6618,Síndic de Greuges de Catalunya,síndica de greuges,Sra.,Esther Giménez-Salinas i Colomer,6618,Síndic de Greuges de Catalunya,1,PRE,,54000,05/01/2024,19/06/1997,08003,Barcelona,08019,Barcelonès,Lluís Companys 7,41.390070235,2.180969356,
6611,Sindicatura de Comptes de Catalunya,síndic major de la Sindicatura de Comptes,Il·ltre. Sr.,Miquel Salazar Canalda,6611,Sindicatura de Comptes de Catalunya,1,PRE,,53000,05/01/2024,19/06/1997,08003,Barcelona,08019,Barcelonès,Laietana 60,41.388070517,2.173475462,
6581,Parlament de Catalunya,presidenta del Parlament de Catalunya,Molt Hble. Sra.,Anna Erra i Solà,6581,Parlament de Catalunya,1,PRE,,10171,08/09/2023,19/06/1997,08003,Barcelona,08019,Barcelonès,Ciutadella s/n (Palau del Parlament),41.387955,2.188686,
17194,Oficina Antifrau de Catalunya,director de l'Oficina Antifrau de Catalunya,Sr.,Miguel Ángel Gimeno Jubero,17194,Oficina Antifrau de Catalunya,1,PRE,Q-0801684-B,1204000,04/12/2020,25/05/2009,08013,Barcelona,08019,Barcelonès,Ribes 3,41.392805798,2.181096765,POINT (2.181096765 41.392805798)
15006,President de la Generalitat,President de la Generalitat de Catalunya,Molt Hble. Sr.,Pere Aragonès i Garcia,15006,President de la Generalitat,1,PRE,,10194,23/11/2021,09/09/2005,08002,Barcelona,08019,Barcelonès,Sant Jaume 4 (Palau de la Generalitat),41.382806239,2.176800531,POINT (2.176800531 41.382806239)
6619,Consell de Garanties Estatutàries,president del Consell de Garanties Estatutàries,Hble. Sr.,Joan Vintró i Castells,6619,Consell de Garanties Estatutàries,1,PRE,,55000,19/01/2023,19/06/1997,08002,Barcelona,08019,Barcelonès,Sant Miquel 6-8 (Palau Centelles-Solferino),41.381483549,2.176781992,
10023,Negociat d'Accidents i Malalties Professionals,cap del Negociat d'Accidents i Malalties Professionals (e.f.),Sra.,Núria Puy Omella,19775,Departament d'Empresa i Treball,10017,EMO,,2000,29/11/2023,11/01/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,
10021,Negociat de Prevenció i Declaració de Riscos,cap del Negociat de Prevenció i Declaració de Riscos  (e.f.),Sra.,Natàlia Santiago Martínez,19775,Departament d'Empresa i Treball,10017,EMO,,1000,29/11/2023,11/01/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,
10232,Negociat Eleccions,cap del Negociat,Sra.,Gaia Fabregues Arbues,19775,Departament d'Empresa i Treball,10018,EMO,,500,28/09/2022,29/03/1999,08004,Barcelona,08019,Barcelonès,Albareda 2-4,41.373678722,2.174350972,POINT (2.174350972 41.373678722)
